nom,type,portion,calories,proteins,lipides,glucides,fibres
Sauce hollandaise,sauce,100,,,,,
Épinard cru,vegetable,100,23,2.86,0.39,3.63,2.2
Lin (graine moulue),autre,100,534,19.8,41.6,28.88,27.9
Haricots pinto cuits,autre,100,162,9.31,0.48,30.88,8.6
Mure fraîche,autre,100,43,1.39,0.49,9.61,5.3
Maquereau salé,autre,100,305,18.5,25.1,0,0
Éclair,autre,100,,,,,
Agneau (coupes diverses),autre,100,206,28.992,9.862,0,0
Cresson de fontaine cru,autre,100,11,2.3,0.1,1.29,0.5
Rutabaga,autre,100,39,1.29,0.22,8.74,1.8
Fèves de soja germées à la vapeur,autre,100,81,8.47,4.45,6.53,0.8
Rognon de veau,meat,100,163,26.32,5.66,0,0
Son de blé,cereal,100,,,,,
Cheerios,autre,100,395,11.67,6.33,73.33,9
Morbier,autre,100,347,23.6,28.1,0,0
Aneth (désydraté),autre,100,253,19.96,4.36,55.82,13.6
Pâté de foie,autre,100,319,14.2,28,1.5,0
Pain au son,autre,100,248,8.8,3.4,47.8,4
Citron,autre,100,29,1.1,0.3,9.32,2.8
Safran,spice,100,310,11.43,5.85,65.37,3.9
Corned beef,autre,100,250,27.1,14.93,0,0
Sel de table,autre,100,0,0,0,0,0
Zeste d'orange confit,autre,100,,,,,
Abricot confit,autre,100,,,,,
Croissant,autre,100,406,8.2,21,45.8,2.6
Chou à la crème,autre,100,,,,,
Saucisse de veau,meat,100,341,13.99,31.7,0,0
Saucisse knackwurst,autre,100,307,11.1,27.7,3.2,0
Frites,autre,100,319,3.76,17.05,37.51,3.5
Poire,fruit,100,,,,,
Ris de veau,meat,100,125,22.67,3.11,0,0
Gigot d'agneau,autre,100,200,29.774,8.96,0,0
Cubes de veau (pour ragout),autre,100,188,34.94,4.31,0,0
Vin blanc,autre,100,82,0.07,0,0.96,0
Pois pigeon (cajan),autre,100,111,5.96,1.36,19.49,6.2
Salade frisée,autre,100,15,1.36,0.15,2.79,1.3
Canard rôti avec la peau,meat,100,337,18.99,28.35,0,0
Beignet nature enrobé de chocolat,autre,100,452,4.93,25.25,51.33,1.9
Noix de cajou rôtie à sec,autre,100,574,15.31,46.35,32.69,3
Cœurs de palmier (conserve),autre,100,28,2.52,0.62,4.62,2.4
Rognon d'agneau,autre,100,137,23.65,3.62,0.99,0
Champignon enoki cru,autre,100,44,2.56,0.32,7.68,2.7
Tofu,autre,100,116,8.15,8,5.15,
Fève,autre,100,,,,,
Saucisson de bologne,autre,100,247,15.3,19.87,0.73,0
Aiglefin,autre,100,112,24.24,0.93,0,0
Crème glacée à la fraise,autre,100,192,3.2,8.4,27.6,0.9
Cornichons au vinaigre,autre,100,11,0.33,0.2,2.26,1.2
Poivron jaune,vegetable,100,27,1,0.21,6.32,0.9
Jus d'orange et de pamplemousse,drink,100,43,0.6,0.1,10.28,0.1
Salade de fruit (conserve),autre,100,30,0.35,0.07,7.87,1
Tapioca sec,autre,100,358,0.19,0.02,88.69,0.9
Farine de seigle,cereal,100,354,9.39,1.77,77.49,14.6
Flan pâtissier préparé (sachet),autre,100,112,4.13,2.83,17.61,0
Figue confite,autre,100,,,,,
Brochette d'agneau,autre,100,186,28.08,7.33,0,0
Pain complet,autre,100,250,8.4,1.3,49.4,5.3
Flan à la banane,autre,100,,,,,
Framboise,fruit,100,53,1.2,0.65,11.94,6.5
Haricots de lima,autre,100,123,6.81,0.32,23.64,5.3
Mâche,autre,100,21,2,0.4,3.6,
Mufffin aux raisins,autre,100,240,7.91,1.8,48.1,2.6
Fruit'n Fibre,autre,100,,,,,
Macaron,autre,100,404,3.6,12.7,72.45,1.8
Lupins cuits,autre,100,,,,,
Radis,vegetable,100,16,0.68,0.1,3.4,1.6
Fromage fondu,dairy,100,334,24.73,25.01,2.1,0
Petits pois et carottes (conserve),autre,100,38,2.17,0.27,8.48,2
Gâteau au fromage blanc,autre,100,217,8.4,5.3,34,0.7
Saucisse de Morteau,autre,100,,,,,
Scarole,autre,100,17,1.25,0.2,3.35,3.1
Zeste de pamplemousse confit,autre,100,,,,,
Crevette panée et frite,seafood,100,242,21.39,12.28,11.47,0.4
Moule cuite,seafood,100,172,23.8,4.48,7.39,0
"Mets composés, chow mein, poulet, conserve",autre,100,92,3.118,4.833,9.846,1.22
Sauce spaghetti,autre,100,87,1.78,2.69,13.76,2.6
Farine de blé  à pain,autre,100,362,13.866,2.342,69.406,3.014
Pain aux raisins,autre,100,,,,,
Panais,autre,100,71,1.32,0.3,17.01,3.24
Saucisse de Strasbourg,autre,100,,,,,
Chausson à la viande,autre,100,254,13.7,20,3.9,0
Double hamburger,autre,100,267,19.3,16.01,11.04,0.64
Chou en salade,vegetable,100,78,1.29,2.61,12.41,1.5
Laitue pommée,autre,100,14,0.9,0.14,2.97,1.2
Patate douce (conserve),autre,100,91,1.65,0.2,21.12,1.8
Chou de Chine cuit,vegetable,100,14,1.5,0.17,2.41,1.7
Macédoine de légumes (congelée),autre,100,64,3.33,0.52,13.46,4
Ciboulette,autre,100,30,3.27,0.73,4.35,2.5
Sirop de grenadine,autre,100,268,0,0,66.91,0
Quiche Lorraine,autre,100,,,,,
Tostada au fromage avec haricots et bœuf,autre,100,,,,,
Lait entier (au chocolat),autre,100,83,3.17,3.39,10.34,0.8
Café décaféiné,drink,100,0,0.1,0,0,0
Gin,autre,100,263,0,0,0,0
Nouilles de riz cuites,cereal,100,109,0.91,0.2,24.9,1
Gâteau de riz,autre,100,118,3.53,2.65,19.4,0.9
Saucisse de bœuf,meat,100,332,18.21,27.98,0.35,0
Oignon vert  cuit,autre,100,34,1.9,0.4,6.5,2.6
Origan en poudre,autre,100,265,9,4.28,68.92,42.5
Araignée de mer,autre,100,115,23.72,1.51,0,0
Salade de pâtes aux fruits de mer,autre,100,91,3.94,5,7.67,0.62
Friand à la viande,autre,100,189,17.5,12.77,1.04,0
Pizza viande et légumes (congelée),autre,100,276,11.28,14.43,25.14,2.2
Artichaut congelé,autre,100,45,3.11,0.5,9.18,4.6
Litchi,autre,100,66,0.83,0.44,16.53,1.3
M & M's ( marron),autre,100,492,4.33,21.13,71.19,2.8
Blé soufflé,egg,100,397,15.02,2.71,78.2,11.3
Palourde cuite,seafood,100,148,25.55,1.95,5.13,0
Fromage allégé,dairy,100,200,23,6,4,0
Perche rose,autre,100,121,23.88,2.09,0,0
Échalote crue,autre,100,72,2.5,0.1,16.8,2.09
Bâtonnets de poisson,autre,100,249,11.04,13.25,21.18,1.4
Epaule de porc,meat,100,236,17.18,17.99,0,0
Guimauves,autre,100,318,1.8,0.2,81.3,0.1
