nom,type,portion,calories,proteins,lipides,glucides,fibres
Chou vert frisé cru,vegetable,100,50,3.3,0.7,10.01,2.44
Lait de brebis,dairy,100,,,,,
Mandarine,autre,100,53,0.81,0.31,13.34,1.8
Flétan,autre,100,140,26.69,2.94,0,0
Glaçage à la vanille,autre,100,,,,,
Laurier (feuille),autre,100,314,7.61,8.36,74.97,26.3
Mélange apéritif oriental à base de riz,autre,100,,,,,
Nectar de pêche,fruit,100,54,0.27,0.02,13.92,0.6
Noix de Grenoble,nuts,100,655,15.23,65.21,13.71,6.7
Huître cuite,seafood,100,137,14.1,4.91,7.82,0
Saucisse de dinde,meat,100,196,23.89,10.44,0,0
Grenade,fruit,100,83,1.67,1.17,18.7,4
Lait demi-écrémé 1% mat.gr.,dairy,100,42,3.37,0.97,4.99,0
Rouleau de printemps,autre,100,105,5.2,1.96,16.6,1.2
Cœurs de palmier crus,autre,100,115,2.7,0.2,25.61,1.5
Beurre allégé doux,dairy,100,499,3.3,55.1,0,0
Biscuit fourré au chocolat (BN),autre,100,470,5.61,19.78,70.67,2.8
Avocat,autre,100,160,2,14.66,8.53,6.7
Céleri-rave cuit,autre,100,27,0.96,0.19,5.9,1.2
Raisin,fruit,100,67,0.63,0.35,17.15,0.9
Cardamome en poudre,autre,100,312,10.76,6.7,68.47,28
Farine de riz brun,cereal,100,,,,,
Citrouille,autre,100,34,1.1,0.28,8.09,2.9
Confiture de fruit,autre,100,278,0.37,0.07,68.86,1.1
Lait écrémé,dairy,100,34,3.37,0.08,4.96,0
Haricots blancs maison,autre,100,155,5.54,5.15,21.63,5.5
Sandwich au fromage et œufs,autre,100,,,,,
Ricotta au lait entier,autre,100,174,11.26,12.98,3.04,0
Croissant au fromage,autre,100,,,,,
Chou-fleur cru,vegetable,100,25,1.92,0.28,4.97,1.75
Farine de pois chiches,autre,100,361,16.92,31.78,0.18,0
Huile d'arachide,autre,100,885,0,100,0,0
Sandwich grec aux crudités,autre,100,,,,,
Mérou,autre,100,118,24.84,1.3,0,0
Crevettes panées,autre,100,277,11.51,15.18,24.39,0.26
Bœuf haché cru,meat,100,293,16.55,24.7,0,0
Vin doux,autre,100,133,0.1,0,10.6,0
Avoine,cereal,100,389,16.89,6.9,66.27,10.6
Flan pâtissier,autre,100,210,5.5,11.6,20.8,1.6
Sucre de table,autre,100,400,0,0,100,0
Gomme à mâcher,autre,100,,,,,
Salami sec,autre,100,407,22.58,33.72,1.6,0
Ciboulette lyophilisée,autre,100,311,21.2,3.5,64.29,26.2
Pomme de terre bouillie (sans la peau),vegetable,100,86,1.71,0.1,20.01,1.4
Riz brun grain moyen sec,cereal,100,362,7.5,2.68,76.17,3.4
Moutarde brune,autre,100,91,5.9,6.3,5.3,3.2
Riz blanc grain court cuit,cereal,100,130,2.36,0.19,28.73,
Cerises confites,autre,100,,,,,
Bette,autre,100,20,1.88,0.08,4.13,2.1
Reblochon,autre,100,322,19.7,27,0,0
Groseille à maquereau,autre,100,44,0.88,0.58,10.18,4.3
Haricots beurre cuits,dairy,100,144,9.16,1.08,25.27,10.4
Port-Salut,autre,100,352,23.78,28.2,0.57,0
Endive,autre,100,17,0.9,0.1,4,3.1
Haricots mungo germés crus,autre,100,30,3.04,0.18,5.94,1.8
Huile de noix de coco,nuts,100,863,0,100,0,0
Navet,autre,100,28,0.9,0.1,6.43,1.8
Fèves de soja cuites,sauce,100,141,12.35,6.4,11.05,4.2
Céleri-rave cru,autre,100,42,1.5,0.3,9.2,1.8
Bacon de dinde,meat,100,382,29.6,27.9,3.1,0
Pâte feuilletée (prête-à-cuire),autre,100,551,7.3,38.1,45.1,1.5
Whisky,autre,100,231,0,0,0,0
"Mets composés, mini ravioli au boeuf, sauce aux tomates et viande, conserve",autre,100,92,3.27,3.24,12.36,1
After Eight,autre,100,432,1.67,11.9,79.53,2.4
Prune Reine-Claude,autre,100,53,0.8,0.2,12,2.4
Ormeau cru,autre,100,105,17.1,0.76,6.01,0
Artichaut cru,autre,100,47,3.27,0.15,10.51,4.58
Esturgeon,seafood,100,135,20.7,5.18,0,0
Poire asiatique,fruit,100,42,0.5,0.23,10.65,3.6
Huître crue,seafood,100,68,7.05,2.46,3.91,0
Riz blanc grain court sec,cereal,100,358,6.5,0.52,79.15,2.8
Pomélo,autre,100,38,0.76,0.04,9.62,1
Caille,autre,100,192,19.63,12.05,0,0
Brocoli,vegetable,100,35,2.38,0.41,7.18,2.4
Choucroute garnie,autre,100,,,,,
Préparation pour flan au chocolat,autre,100,362,2.6,2.1,89.3,4.5
Farine de blé à gâteau,autre,100,368,9.461,2.549,74.79,2.964
Tomate rouge d'hiver crue,sauce,100,21,0.85,0.33,4.64,1.2
Tablette de chocolat (à dessert),autre,100,501,12.9,52.31,29.84,16.6
Corn Pops,autre,100,384,4,0.6,90.5,8
Soupe minestrone en boîte,autre,100,53,2.13,1.17,8.64,2.4
Gruyère,autre,100,413,29.81,32.34,0.36,0
Soupe aux asperges en sachet,autre,100,23,0.88,0.69,3.57,0.15
Crème de légumes en sachet,dairy,100,41,0.73,2.19,4.73,0.2
Farine de blé complète,cereal,100,369,14.639,3.24,68.509,8.894
Aneth (graines),autre,100,305,15.98,14.54,55.17,21.1
Jus d'orange,drink,100,45,0.7,0.2,10.4,0.2
Jus de pamplemousse,drink,100,46,0.58,0.09,11.13,0.1
Cornichons sucrés,autre,100,91,0.58,0.41,21.15,1
Yaourt normal sur lit de fruits,dairy,100,115,3.86,3,17.76,0
Lapin rôti,meat,100,197,29.06,8.05,0,0
Langue de bœuf,meat,100,284,19.29,22.3,0,0
Choucroute,autre,100,,,,,
Glaçage au chocolat,autre,100,,,,,
Oeufs brouillés,autre,100,153,10.388,11.394,3.047,0
Salade de légumes et crevettes,autre,100,45,6.15,1.05,2.8,0.45
Datte séchée,autre,100,282,2.45,0.39,75.03,8
Vinaigrette commerciale,sauce,100,457,0.77,44.81,15.58,0
Mozarella,autre,100,319,21.6,24.64,2.47,0
Pita,autre,100,275,9.1,1.2,55.7,2.2
Salade de légumes et poulet,meat,100,48,8,1,1.71,0.4
Flan au caramel préparé (sachet),autre,100,103,2.99,1.72,18.82,0
Petits pois (conserve),autre,100,53,3.19,0.3,9.75,3.3
Riz brun grain long cuit,cereal,100,111,2.58,0.9,22.96,1.48
Thymus de bœuf,meat,100,319,21.85,24.98,0,0
Thon rouge frais cru,seafood,100,144,23.33,4.9,0,0
Quinoa cuit,cereal,100,120,4.4,1.92,21.3,2.8
Sardine à l'huile (conserve),autre,100,208,24.62,11.45,0,0
Flan au citron,autre,100,107,2.76,1.71,20.2,0
Maïs doux (conserve),cereal,100,64,1.95,0.5,15.41,1.7
Confiture allégée,autre,100,132,0.3,0.3,53.6,2.5
Queue de porc,meat,100,396,17,35.8,0,0
Yaourt aux fruits allégé,autre,100,95,4.4,0.2,19,0
Huile de tournesol,autre,100,885,0,100,0,0
Zeste d'orange,autre,100,97,1.5,0.2,25,10.6
Orange,fruit,100,49,0.91,0.15,12.54,2.2
Coriandre (brins),spice,100,23,2.13,0.52,3.67,2.8
Thé,drink,100,1,0,0,0.3,0
Salami cuit,autre,100,301,15.75,25,2,0
Chou-rave cuit,autre,100,29,1.8,0.11,6.69,1.1
Huile de colza,autre,100,885,0,100,0,0
Tostada au fromage avec haricots,autre,100,155,6.67,6.85,18.42,3.02
Estragon (déshydraté),autre,100,296,22.77,7.24,50.22,7.4
Sundae chocolat,autre,100,180,3.57,5.46,30.17,0
Macaroni au blé complet,autre,100,124,5.33,0.54,26.54,2.8
Croissant au jambon,autre,100,284,10.5,16.6,23.1,2
Cassonade,autre,100,380,0.12,0,98.09,0
Confiture d'abricot,autre,100,242,0.7,0.2,64.4,0.3
Cuisse de poulet bouilli avec la peau,meat,100,220,24.17,12.92,0,0
Pizza au poivron,autre,100,296,11.21,15.2,28.51,2.2
Raifort (sauce),autre,100,48,1.18,0.69,11.29,3.3
Courgette crue,vegetable,100,17,1.21,0.32,3.11,1
Salade de pommes de terre,vegetable,100,143,2.68,8.2,11.17,1.3
Semoule de blé dur,cereal,100,360,12.68,1.05,72.83,3.9
Foie d'agneau,autre,100,238,25.53,12.65,3.78,0
Chocolat à croquer,autre,100,,,,,
Poulet frit (sans peau),meat,100,219,30.57,9.12,1.69,0.1
Lait fermier,dairy,100,64,3.28,3.66,4.65,0
Boudin,autre,100,379,14.6,34.5,1.29,0
Saucisson de foie et de bacon,autre,100,297,15,24,4.3,0
Yaourt allégé sur lit de fruits,dairy,100,62,4.3,0.19,10.77,0
Cari en poudre,autre,100,325,12.66,13.81,58.15,33.2
Ananas,fruit,100,50,0.54,0.12,13.12,1.4
Graine de sésame grillée,autre,100,565,16.96,48,25.74,14
Chou cuit,vegetable,100,23,1.27,0.06,5.51,1.7
Huître panée et frite,seafood,100,197,8.77,12.58,11.62,0
"Bœuf oriental, légumes et riz",meat,100,74,4.96,1.08,11.05,0.51
Nachos au fromage et chili con carne,autre,100,,,,,
Melon,fruit,100,34,0.84,0.19,8.16,0.69
Romarin (déshydraté),autre,100,332,4.88,15.22,64.06,42.6
Myrtille,fruit,100,57,0.74,0.33,14.49,2.59
Poulet mijoté,meat,100,179,24.56,8.18,0,0
Truite saumonée,seafood,100,133,21.46,4.63,0,0
Huile de palmiste,autre,100,863,0,100,0,0
Préparation pour crêpe au froment,autre,100,344,12.8,1.5,71,
Chou cavalier cuit,vegetable,100,26,2.11,0.36,4.91,2.8
Tortilla prêt-à-cuire,autre,100,218,5.7,2.85,44.64,6.3
Carvi (graines),autre,100,333,19.77,14.59,49.9,38
Limonade au citron,autre,100,39,0.05,0.02,10.14,0
Moule crue,seafood,100,86,11.9,2.24,3.69,0
Artichaut cuit,autre,100,53,2.89,0.34,11.95,8.6
Raifort,autre,100,,,,,
Snickers,autre,100,491,7.53,23.85,61.51,2.3
Soupe à l'oignon en sachet,autre,100,12,0.32,0.01,2.77,0.3
Galette de riz,cereal,100,387,8.2,2.8,81.5,4.2
Champignon,autre,100,28,2.17,0.47,5.29,2.2
Foie de morue,autre,100,425,5.6,42,6,0
Céleri (graines),vegetable,100,392,18.07,25.27,41.35,11.8
Courge,vegetable,100,56,0.66,0.34,14.34,
Sorbet allégé en sucre,autre,100,24,0.5,0.1,6.2,0
Asperge en conserve,vegetable,100,15,1.8,0.18,2.47,1
Coing,autre,100,27.7,0.4,0.1,6.3,3.2
Fruits au sirop (conserve),autre,100,32,0.42,0.05,8.51,1
Carpe,autre,100,162,22.86,7.17,0,0
Eau du robinet,autre,100,0,0,0,0,0
Cocktail daiquiri (rhum),autre,100,186,0.06,0.06,6.94,0.1
Farine de sarrasin,cereal,100,,,,,
Seigle,cereal,100,335,14.76,2.5,69.76,13.56
Thym (déshydraté),autre,100,276,9.11,7.43,63.94,37
Pain au raisin,autre,100,274,7.9,4.4,52.3,4.3
Fève de café enrobée de chocolat noir,drink,100,540,7.5,30,59.95,7.5
Potée auvergnate,autre,100,159,8.4,12,4.4,1.4
Pois mange-tout crus,autre,100,42,2.8,0.2,7.55,1.77
Omelette,egg,100,,,,,
Pain au chocolat,autre,100,401,7.4,19.7,48.6,2
Brioche nature,autre,100,,,,,
Miso (soja fermenté),autre,100,,,,,
Riz blanc glutineux sec,cereal,100,370,6.81,0.55,81.68,2.8
Pois carrés cuits,autre,100,38,5.31,0.66,3.21,
Saumon rouge (conserve),seafood,100,166,16.8,10.1,0,0
Oignon cuit,autre,100,44,1.36,0.19,10.15,1.7
crème fraîche 30% M. G.,dairy,100,,,,,
Barre granny dure,autre,100,,,,,
Chips goût barbecue,sauce,100,491,7.7,32.4,52.8,4.4
Purée de pommes de terre maison,vegetable,100,113,1.96,4.2,16.94,1.5
Patate douce bouillie,autre,100,77,1.37,0.14,17.72,2.5
Huile de germe de blé,cereal,100,885,0,100,0,0
Raisin de Corinthe sec,fruit,100,283,4.08,0.27,74.08,6.8
Abricot séché,autre,100,241,3.39,0.51,62.64,7.3
Tarte au citron meringuée,autre,100,268,1.5,8.7,47.2,1.2
Barbue de rivière élevage,autre,100,152,18.72,8.02,0,0
Braunschweiger,autre,100,327,14.5,28.5,3.1,0
Conque,autre,100,130,26.3,1.2,1.7,0
Halvah nature,autre,100,469,12.49,21.52,60.49,4.5
Cerfeuil (déshydraté),autre,100,237,23.2,3.9,49.1,11.3
Cornet de glace à la vanille,autre,100,166,4.24,4.86,26.36,0.1
Nectar de poire,fruit,100,60,0.11,0.01,15.76,0.6
Menthe poivrée fraîche,autre,100,70,3.75,0.94,14.89,8
Caramel,autre,100,348,0,0,91.6,0
Sirop d'agave,autre,100,,,,,
Canneberge séchée sucrée,autre,100,308,0.07,1.37,82.36,5.7
Asperge fraîche,vegetable,100,22,2.4,0.22,4.11,2
Choucroute (conserve),autre,100,19,0.91,0.14,4.28,2.9
Cerises au marasquin,autre,100,165,0.22,0.21,41.97,3.2
Cresson cuit,autre,100,23,1.9,0.6,3.8,0.7
Gésier de poulet mijoté,meat,100,154,30.39,2.68,0,0
Poulet rôti (sans peau),meat,100,190,28.93,7.41,0,0
Rognon de bœuf,meat,100,159,27.27,4.65,0,0
Galettes de maïs,cereal,100,387,8.1,2.4,83.4,1.9
Boisson aux agrumes,autre,100,46,0.34,0.03,11.42,0.1
Sauce chili  en conserve,autre,100,,,,,
Pâtes maison,cereal,100,124,4.37,0.98,25.12,1.19
Bacon cru,autre,100,222,16.3,16.45,0.9,0
Salami de boeuf sec,meat,100,385,23.2,30.05,3.8,0
Cerise,fruit,100,50,1,0.3,12.18,1.6
Sauce béchamel,autre,100,96.3,2.5,6.3,7.4,0.2
Mousse d'Irlande crue (algue),autre,100,49,1.51,0.16,12.29,1.3
Tarte au chocolat,autre,100,304,2.6,19.4,33.6,2
Pois mange-tout,autre,100,42,3.27,0.23,7.05,2.8
Banane Plantain crue,fruit,100,122,1.3,0.37,31.89,2.3
Chou cru,vegetable,100,25,1.28,0.1,5.8,1.8
Pomme de terre bouillie (avec la peau),vegetable,100,86,1,0,19,1
Mortadelle,autre,100,311,16.37,25.39,3.05,0
Bran Flakes (Kellogg's),autre,100,382,11,2.2,79,15
Sauce tartare,autre,100,668,1.008,73.249,4.196,0.332
Chocolat amer à cuire,autre,100,,,,,
Vin rosé,autre,100,71,0.2,0,1.4,0
Bœuf froid tranché (fin),meat,100,117,17.94,3.4,2.59,0
Croutons nature,autre,100,,,,,
Céleri cru,vegetable,100,16,0.69,0.17,2.97,1.5
Quatre-quart au beurre,autre,100,388,5.5,19.9,48.8,0.5
Haricots de lima (conserve),autre,100,71,4.07,0.29,13.33,3.6
Menthe verte déshydratée,autre,100,285,19.93,6.03,52.04,29.8
Chili con carne (conserve),autre,100,121,7.09,5.26,11.43,3.9
Saucisson épicé,autre,100,186,16.3,11.5,3.3,0
Thon à l'huile (en conserve),autre,100,198,29.13,8.21,0,0
Maïs jaune sec,cereal,100,365,9.42,4.74,74.26,7.3
Yaourt à boire,autre,100,70,2.4,1.5,11.7,0
Poudre de noix de coco,nuts,100,660,6.88,64.53,23.65,16.3
Cola allégé,drink,100,2,0.11,0.03,0.29,0
Biscuit petit beurre,dairy,100,467,6.1,18.8,68.9,0.8
Moutarde jaune (graines),autre,100,508,26.08,36.24,28.09,12.2
Sole (poisson plat),autre,100,117,24.16,1.53,0,0
Fromage de chèvre sec,dairy,100,452,30.52,35.59,2.17,0
Chili en poudre,autre,100,314,12.26,16.76,54.66,34.2
Cardon,autre,100,22,0.76,0.11,5.33,1.7
Farine de maïs,cereal,100,361,6.93,3.86,76.85,7.3
Foie de veau,meat,100,193,27.37,6.51,4.47,0
Kaki,autre,100,70,0.58,0.19,18.59,3.6
Surimi,autre,100,99,15.18,0.9,6.85,0
Dragée,autre,100,475,10,17.93,68.26,2.5
Sucre glace,autre,100,389,0,0,99.77,0
Foie de bœuf,meat,100,192,29.08,5.26,5.13,0
Blanc de dinde rôtie,meat,100,112,13.5,3,7.7,0.4
Persil lyophilisé,autre,100,271,31.3,5.2,42.38,32.7
Special K,autre,100,386,16.1,1.4,75.5,1.4
Farine de riz blanc,cereal,100,,,,,
Abricot en conserve,autre,100,27,0.71,0.16,6.39,1.6
Brioche aux raisins secs,autre,100,372,6.2,16.4,50.9,2.4
Graisse de porc (saindoux),meat,100,902,0,100,0,0
Blanc de poulet rôti avec la peau,meat,100,222,29.02,10.85,0,0
Fécule de maïs,cereal,100,,,,,
Bonbon enrobé de chocolat,autre,100,367,2.2,9.3,80.4,2.1
Sarriette en poudre,autre,100,272,6.73,5.91,68.73,45.7
Saucisse bratwurst,autre,100,245,14.1,19.3,2.6,0
Soupe aux champignons en sachet,autre,100,33,0.66,1.82,4.4,0.2
Noix de macadamia,nuts,100,718,7.91,75.77,14.22,8.6
Beurre allégé demi-sel,dairy,100,509,3.3,55.1,0,0
Basilic frais,autre,100,22,3.15,0.64,2.65,1.6
Fromage de chèvre frais,dairy,100,268,18.52,21.08,0.89,0
Jambon,autre,100,178,22.62,9.02,0,0
Palourde crue,seafood,100,74,12.77,0.97,2.57,0
Préparation pour flan au citron,autre,100,363,0.1,0.5,91.8,0.1
Prune au sirop,autre,100,41,0.39,0.01,11.03,0.9
Goyave,autre,100,68,2.55,0.95,14.32,5.4
Parmesan râpé,autre,100,432,38.46,28.61,4.06,0
Tomate verte crue,sauce,100,23,1.2,0.2,5.1,1.1
Pommes de terre rissolées,vegetable,100,265,3,12.52,35.11,3.2
Maquereau espagnol,autre,100,201,25.73,10.12,0,0
Bouchée à la reine,autre,100,,,,,
Cédrat confit,autre,100,,,,,
Prune,autre,100,46,0.7,0.28,11.42,1.6
Saucisson de bologne (dinde),autre,100,209,11.42,16.05,4.68,0.5
Flocons de maïs,cereal,100,390,7,0.667,86.667,2.667
Lièvre,autre,100,192,30,8,0,0
Saumon rose,seafood,100,149,25.56,4.42,0,0
Chocolat au lait et riz soufflé,autre,100,511,7.64,29.37,59.67,3.3
Froot Loops,autre,100,400,4.7,2.8,89.1,7.6
Groseille,fruit,100,56,1.4,0.2,13.8,4.3
Noix de Pécan,nuts,100,691,9.17,71.97,14.04,9.6
Bière légère,autre,100,,,,,
Bar,autre,100,124,23.63,2.56,0,0
Thym frais,autre,100,101,5.56,1.68,24.45,14
Strudel aux pommes,autre,100,,,,,
Caviar,autre,100,252,24.6,17.9,4,0
Colin,autre,100,115,23.48,1.69,0,0
Saucisse de bière (bœuf),autre,100,254,14.1,19.7,4.1,0
Persil frais,autre,100,36,2.97,0.79,6.33,3.3
Yaourt nature,dairy,100,63,5.25,1.55,7.04,0
Poireaux cuits,autre,100,31,0.81,0.2,7.62,1
Pâtes aux œufs maison,autre,100,130,5.28,1.74,23.54,2.19
Épaule d'agneau rôtie,autre,100,,,,,
Bouchées Kit Kat,autre,100,,,,,
Pigeonneaux,autre,100,294,18.47,23.8,0,0
Ail cru,autre,100,149,6.36,0.5,33.06,2.1
Truite arc-en-ciel (élevage),seafood,100,169,24.27,7.2,0,0
Pignon,autre,100,673,13.69,68.37,13.08,3.7
Gingembre en poudre,spice,100,347,9.12,5.95,70.79,12.5
Munster,autre,100,368,23.41,30.04,1.12,0
Fruit de la passion,autre,100,97,2.2,0.7,23.38,10.4
Muffin nature,autre,100,227,8.87,1.69,44.17,3.5
Semoule de maïs,cereal,100,362,8.12,3.59,76.89,7.3
Maïs soufflé givré,egg,100,402,5,1,90,1.333
Lait entier (poudre),dairy,100,496,26.32,26.71,38.42,0
Viande de grison,autre,100,153,31.1,1.94,2.76,0
Madeleine,autre,100,,,,,
Sundae caramel,autre,100,196,4.71,5.98,31.81,0
Emmental français,autre,100,,,,,
Oeuf au plat,autre,100,193,12.871,14.811,1.106,0
Oie rôtie avec la peau,autre,100,305,25.16,21.92,0,0
Gauffre nature,autre,100,291,7.9,14.1,32.9,1.47
Country Crisp aux fruits (Jordans),autre,100,,,,,
Flan au chocolat,autre,100,142,2.09,4.6,23.01,0
Soupe de tomates en sachet,autre,100,38,0.93,0.61,7.17,0.4
Crème fouettée (bombe),dairy,100,258,3.2,22.22,12.49,0
Champignon de Paris cru,autre,100,22,3.09,0.34,3.28,1
Jus de raisin,fruit,100,,,,,
Bœuf bourguignon,meat,100,,,,,
Biscuit fourré au chocolat (BN) COPY,autre,100,,,,,
Enchilada fromage et bœuf,meat,100,,,,,
Épinard congelé,vegetable,100,34,4.01,0.87,4.8,3.7
Hot-dog,autre,100,,,,,
Marmelade d'orange,autre,100,246,0.3,0,66.3,0.7
Poivrons farcis (bœuf),autre,100,73,3.72,2.57,8.73,1.2
Rôti de porc cuit,meat,100,459,28.95,36.7,1.05,0
Chèvre,autre,100,143,27.1,3.03,0,0
Sauce salsa,autre,100,27,1.54,0.16,6.26,1.6
Algue Nori crue,autre,100,35,5.81,0.28,5.11,0.3
Banane,fruit,100,89,1.09,0.33,22.84,1.74
Yaourt nature au lait entier,autre,100,71,4.73,2.79,6.68,0
All Bran (Kellogg's),autre,100,262,12,3.3,76,33.6
Épaule d'agneau grillée,autre,100,205,26.68,10.936,0,0
Pois chiches,autre,100,164,8.86,2.59,27.42,4.56
Parmesan pâte dure,autre,100,392,35.75,25.83,3.22,0
Taco et chili con carne,autre,100,,,,,
Cerise guigne en conserve,fruit,100,46,0.77,0.13,11.76,1.5
Miel,autre,100,304,0.3,0,82.4,0.2
Millet cuit,cereal,100,119,3.51,1,23.67,2.93
Poulet bouilli (sans peau),meat,100,177,27.29,6.71,0,0
Nectar de papaye,fruit,100,57,0.17,0.15,14.51,0.6
crème fraîche^légère,dairy,100,,,,,
Fromage de chèvre demi-sec,dairy,100,364,21.58,29.84,2.54,0
Pot-au-feu,autre,100,,,,,
Morue Atlantique,autre,100,105,22.83,0.86,0,0
Purée de pommes de terre,vegetable,100,83,2.31,1.21,16.12,1.18
Taco,autre,100,217,12.08,12.02,15.63,
Cuisse de porc rôtie,meat,100,273,26.83,17.61,0,0
Biscuit à l'avoine,autre,100,450,6.2,18.1,68.7,2.8
Huile de noisette,nuts,100,885,0,100,0,0
Hachis Parmentier,autre,100,,,,,
Gingembre confit,spice,100,340,0.3,0.2,87.1,
Amuse-gueule à base de maïs goût fromage,autre,100,526,9.3,33.2,51.6,9.9
Céleri cuit,vegetable,100,18,0.83,0.16,4,1.44
Huile de carthame riche en acide oléique,autre,100,885,0,100,0,0
Esturgeon fumé,seafood,100,173,31.2,4.4,0,0
Salami de boeuf cuit,meat,100,261,12.6,22.2,1.9,0
Chipolata,autre,100,339,19.43,28.36,0,0
Lentilles,cereal,100,116,9.02,0.38,20.13,4.25
Maïs doux cru,cereal,100,86,3.27,1.35,18.7,2
Mangue,fruit,100,65,0.51,0.27,17,1.8
Paëlla,autre,100,,,,,
Poivre noir,spice,100,255,10.95,3.26,64.81,26.5
Jus de fruit de la passion,drink,100,,,,,
Sorbet au citron,autre,100,128,0.4,0,32.6,0
Fraise,fruit,100,33,0.67,0.3,7.68,2.24
Zeste de citron confit,autre,100,,,,,
Roulé de poulet,meat,100,134,14.59,7.65,1.79,0
Yaourt glacé,dairy,100,159,4,5.6,24.2,0
Chevreuil,autre,100,158,30.21,3.19,0,0
Crêpe nature maison,autre,100,227,6.4,9.7,28.3,1.21
Soupe de poireaux en sachet,autre,100,28,0.83,0.81,4.5,1.2
Hareng mariné,autre,100,262,14.19,18,9.64,0
Bonbon au caramel,autre,100,382,4.6,8.1,77,0
Vinaigrette maison,sauce,100,631,0.1,70.2,3.4,0
Cerise guigne,fruit,100,63,1.06,0.2,16.01,2.1
Cœur de bœuf,meat,100,165,28.48,4.73,0.15,0
Soupe de pois cassés,autre,100,49,2.83,0.58,8.37,1.1
Burrito fromage et bœuf,meat,100,,,,,
Haricots blancs petits (conserve),autre,100,113,7.53,0.43,20.45,5.1
Pourpier cru,autre,100,16,1.3,0.1,3.43,
Nouilles chinoises,autre,100,527,8.38,30.76,57.54,3.9
Saucisse de bologne (bœuf),autre,100,264,12.9,20.8,5.3,0
Milky Way,autre,100,444,3.2,17.5,71.22,2.9
M & M's (jaune),autre,100,516,9.57,26.13,60.48,3.7
Cassis,autre,100,63,1.4,0.41,15.38,
Laitue romaine,autre,100,17,1.23,0.3,3.29,2.1
Orge cuit,cereal,100,123,2.26,0.44,28.22,2.46
Igname,autre,100,116,1.49,0.14,27.48,3.9
Edam,autre,100,357,24.99,27.8,1.43,0
Hamburger au poisson et fromage,autre,100,286,11.26,15.63,26.03,1.33
Betterave,autre,100,30,0.73,0.09,7.14,1.2
Tourteau,autre,100,99,16.2,1.9,3.11,0
Skittles,autre,100,405,0.19,4.37,90.78,0
Crevette,seafood,100,99,20.91,1.08,0,0
Jambon haché,autre,100,263,16.28,20.68,1.84,0
Fromage bleu,dairy,100,353,21.4,28.74,2.34,0
Blé soufflé givré,egg,100,376,5.667,3.333,86.667,3.333
Boudoir,autre,100,,,,,
Chewing gum sans sucre,autre,100,268,0,0.4,94.8,2.4
Chou vert frisé cuit,vegetable,100,28,1.9,0.4,5.63,2
Tablette de chocolat,autre,100,507,3.9,34.2,60.4,5.5
Poulet pané et frit,meat,100,297,15.59,18.82,16.32,0.9
Pastrami,autre,100,147,17.78,5.84,0.36,0
Thon albacore,seafood,100,139,29.97,1.22,0,0
Mure au sirop,autre,100,92,1.31,0.14,23.1,3.4
Neufchatel,autre,100,253,9.15,22.78,3.59,0
Pilon de poulet pané et frit,meat,100,291,20.32,18.04,10.61,0.24
Tapioca,autre,100,369,0.1,0.1,94.3,0.2
Nougat,autre,100,398,3.33,1.67,92.39,3.3
Emmental,autre,100,380,26.93,27.8,5.38,0
Nectarine,autre,100,44,1.06,0.32,10.55,1.7
Sardines aux tomates (conserve),autre,100,185,20.86,10.45,0.54,0.1
Sauce blanche,autre,100,147,3.84,10.63,9.17,0.2
Croutons assaisonnés,autre,100,,,,,
Barbue de rivière sauvage,autre,100,105,18.47,2.85,0,0
Smacks (Kellog's),autre,100,,,,,
Fruits confits,autre,100,,,,,
Poulet rôti avec la peau,meat,100,239,27.3,13.6,0,0
Anguille,seafood,100,236,23.65,14.95,0,0
Nèfle du Japon,autre,100,47,0.43,0.2,12.14,1.7
Hamburger au poisson,autre,100,,,,,
Tomate rouge d'été crue,sauce,100,,,,,
Camembert,autre,100,300,19.8,24.26,0.46,0
Huile de carthame riche en acide linoléique,autre,100,885,0,100,0,0
Saucisson de bière (porc et bœuf),autre,100,276,14,22.53,4.27,0.9
Carotte cuite,vegetable,100,35,0.76,0.18,8.22,2.7
Rhubarbe (compote),autre,100,,,,,
Bigorneau,autre,100,135,26.1,1.2,5,0
Roquefort,autre,100,369,21.54,30.64,2,0
Sandwich au poulet et fromage,autre,100,277,12.9,17,18.24,0.95
Fromage genre Bombel-Babybel,dairy,100,,,,,
Merguez,autre,100,,,,,
Pêche,fruit,100,39,0.91,0.25,9.54,1.93
Saucisse porc et bœuf,meat,100,396,13.8,36.25,2.7,0
Nachos au fromage,autre,100,,,,,
"Pizza viande et légumes (congelée, pâte lève-au-four)",autre,100,271,12.63,11.75,28.78,2.3
Escalope de veau,meat,100,189,36.929,3.239,0,0
Marjolaine (déshydratée),autre,100,272,12.66,7.04,60.56,40.3
Muscade en poudre,spice,100,525,5.84,36.31,49.29,20.8
Figue de barbarie,autre,100,41,0.73,0.51,9.57,3.6
Cuisse de dinde rôtie avec la peau,meat,100,182,28.573,9.101,0,0
Pamplemousse,autre,100,42,0.77,0.14,10.66,1.6
Amande rôtie à sec,autre,100,598,22.09,52.83,19.29,11.8
Gingembre frais,spice,100,521,6.9,35,44.6,8.6
Riz sauvage,cereal,100,101,3.99,0.34,21.34,1.8
Bière ordinaire,autre,100,,,,,
Poivron vert cru,vegetable,100,20,0.86,0.17,4.64,1.41
Blanquette de veau,meat,100,97.2,15,2.8,3,0.5
Coulommiers,autre,100,,,,,
