nom,type,portion,calories,proteins,lipides,glucides,fibres
Bonbon enrobé de chocolat,autre,100,367,2.2,9.3,80.4,2.1
Graine de soja rôtie,sauce,100,472,35.22,25.4,33.55,17.7
Whisky,drink,100,231,0,0,0,0
Moule crue,seafood,100,86,11.9,2.24,3.69,0
Riz blanc grain moyen cuit,cereal,100,130,2.38,0.21,28.59,0
Oeuf (jaune),egg,100,366,15.896,32.6787,0.5266,0
Bœuf bourguignon,meat,100,0,0,0,0,0
Kit Kat,autre,100,519,6.51,25.99,64.59,1
Quiche Lorraine,autre,100,0,0,0,0,0
Canneberge séchée sucrée,fruit,100,308,0.07,1.37,82.36,5.7
Frites,autre,100,319,3.76,17.05,37.51,3.5
Myrtille,fruit,100,57,0.74,0.33,14.49,2.59
Pizza viande et légumes (congelée),autre,100,276,11.28,14.43,25.14,2.2
Jus de pamplemousse,fruit,100,46,0.58,0.09,11.13,0.1
Cornichons sucrés,vegetable,100,91,0.58,0.41,21.15,1
Coriandre (brins),spice,100,23,2.13,0.52,3.67,2.8
Amuse-gueule à base de maïs,autre,100,384,9.7,3.1,80.1,2.9
Hamburger au fromage,autre,100,251,12.8,12.7,21.2,1.02
Saucisson de bologne (dinde),meat,100,209,11.42,16.05,4.68,0.5
Huile de palme,autre,100,885,0,100,0,0
Tomate rouge d'hiver crue,sauce,100,21,0.85,0.33,4.64,1.2
Saucisse fumée (porc),meat,100,307,11.98,28.23,0.18,0
Artichaut cuit,vegetable,100,53,2.89,0.34,11.95,8.6
Chou rouge cru,vegetable,100,31,1.43,0.16,7.37,2.1
Araignée de mer,seafood,100,115,23.72,1.51,0,0
Macédoine de légumes (congelée),autre,100,64,3.33,0.52,13.46,4
Fèves de soja cuites,vegetable,100,141,12.35,6.4,11.05,4.2
Jus d'ananas,fruit,100,179,1.3,0.1,44.3,0.7
Cuisses de grenouille,autre,100,252,17.4,11.7,18,0.348
Zeste d'orange confit,fruit,100,0,0,0,0,0
Ris de veau,meat,100,125,22.67,3.11,0,0
Mérou,autre,100,118,24.84,1.3,0,0
Skittles,autre,100,405,0.19,4.37,90.78,0
Tostada et guacamole,autre,100,0,0,0,0,0
Choucroute garnie,vegetable,100,0,0,0,0,0
Flétan noir,seafood,100,239,18.42,17.74,0,0
Sucre de table,autre,100,400,0,0,100,0
Pain italien,autre,100,271,8.8,3.5,50,2.7
Fruits au sirop (conserve),fruit,100,32,0.42,0.05,8.51,1
Salade de fruit (conserve),fruit,100,30,0.35,0.07,7.87,1
Port-Salut,autre,100,352,23.78,28.2,0.57,0
Artichaut congelé,vegetable,100,45,3.11,0.5,9.18,4.6
Shiitaké cuit,vegetable,100,56,1.56,0.22,14.39,2.1
Brioche aux raisins secs,autre,100,372,6.2,16.4,50.9,2.4
Marmelade d'orange,fruit,100,246,0.3,0,66.3,0.7
Chou cavalier cru,vegetable,100,30,2.45,0.42,5.69,3.6
Salami de dinde cuit,meat,100,172,19.3,9.21,1.55,0.1
Sauce salsa,sauce,100,27,1.54,0.16,6.26,1.6
Pâte de fruit,fruit,100,351,1.8,5.3,78.5,3.5
Pain aux raisins,autre,100,0,0,0,0,0
Riz blanc glutineux sec,cereal,100,370,6.81,0.55,81.68,2.8
Salade de pâtes aux fruits de mer,cereal,100,91,3.94,5,7.67,0.62
Châtaigne,nuts,100,196,1.63,1.25,44.17,0
Sauce spaghetti,sauce,100,87,1.78,2.69,13.76,2.6
Chouquette,autre,100,0,0,0,0,0
Asperge en conserve,vegetable,100,15,1.8,0.18,2.47,1
Haricots verts,vegetable,100,29.4,2,0.17,3,4
Oignon en poudre,vegetable,100,342,10.41,1.04,79.12,15.2
Sardines aux tomates (conserve),seafood,100,185,20.86,10.45,0.54,0.1
Semoule de maïs,cereal,100,362,8.12,3.59,76.89,7.3
Préparation pour flan au citron,autre,100,363,0.1,0.5,91.8,0.1
Reblochon,dairy,100,322,19.7,27,0,0
Rognon de bœuf,meat,100,159,27.27,4.65,0,0
Céleri cuit,vegetable,100,18,0.83,0.16,4,1.44
Chocolat liquide,autre,100,472,12.1,47.7,36.2,18.1
Rouleau de printemps,autre,100,105,5.2,1.96,16.6,1.2
Barre granny dure,autre,100,0,0,0,0,0
Lapin mijoté,meat,100,206,30.38,8.41,0,0
Yaourt aux fruits brassé,dairy,100,102,4.47,1.68,17.28,0
crème fraîche 30% M. G.,dairy,100,0,0,0,0,0
Pruneau au sirop,fruit,100,105,0.87,0.2,27.8,3.8
Yaourt saveur vanille ou café,dairy,100,92,4.1,1.9,15.49,0
Biscuit aux figues,autre,100,348,3.7,7.3,70.9,4.6
Froot Loops,autre,100,400,4.7,2.8,89.1,7.6
Câpres,spice,100,23,2.36,0.86,4.89,3.2
Fromage de tête,dairy,100,157,13.83,10.9,0,0
Yaourt nature au lait entier,dairy,100,71,4.73,2.79,6.68,0
Maïs jaune sec,cereal,100,365,9.42,4.74,74.26,7.3
Oeuf à la coque,egg,100,141,11.8,10.012,1.85,0
Sauce béarnaise,sauce,100,0,0,0,0,0
Crêpe nature maison,autre,100,227,6.4,9.7,28.3,1.21
Menthe poivrée fraîche,autre,100,70,3.75,0.94,14.89,8
Gomme à mâcher,autre,100,0,0,0,0,0
Piment en poudre,spice,100,263,6.09,8.69,72.12,21.6
Riz brun grain moyen cuit,cereal,100,112,2.32,0.83,23.51,1.91
Oeuf (blanc),egg,100,48,9.99,0,1.182,0
Tapioca,autre,100,369,0.1,0.1,94.3,0.2
Bouillon ou consommé de bœuf (déshydraté),meat,100,3,0.21,0.08,0.25,0
Merguez,meat,100,0,0,0,0,0
Blanc de poulet rôti avec la peau,meat,100,222,29.02,10.85,0,0
Pâté de crevette ou homard,autre,100,180,20.8,9.4,1.5,0
Huile d'arachide,autre,100,885,0,100,0,0
Artichaut cru,vegetable,100,47,3.27,0.15,10.51,4.58
Cassis,fruit,100,63,1.4,0.41,15.38,0
Biscuits petits animaux,autre,100,0,0,0,0,0
Lait écrémé (poudre),dairy,100,363,36.16,0.77,51.98,0
Côte d'agneau,meat,100,0,0,0,0,0
Cacao en poudre,autre,100,486,16.8,23.71,51.39,29.8
Thé,drink,100,1,0,0,0.3,0
Kaki,fruit,100,70,0.58,0.19,18.59,3.6
Sandwich au fromage et œufs,autre,100,0,0,0,0,0
Moutarde jaune,sauce,100,66,4.37,4.01,5.33,3.3
Pain de viande (boeuf),autre,100,0,0,0,0,0
Strudel aux pommes,autre,100,0,0,0,0,0
Pastrami,meat,100,147,17.78,5.84,0.36,0
Romarin frais,spice,100,131,3.31,5.86,20.7,14.1
Salsifis,autre,100,68,2.73,0.17,15.36,3.1
Tostada au fromage avec haricots,autre,100,155,6.67,6.85,18.42,3.02
Chou vert frisé cru,vegetable,100,50,3.3,0.7,10.01,2.44
Crevette,seafood,100,99,20.91,1.08,0,0
Mangue,fruit,100,65,0.51,0.27,17,1.8
Rillettes,autre,100,417,0,39.8,0.1,0
Courge,vegetable,100,56,0.66,0.34,14.34,0
Échalote crue,vegetable,100,72,2.5,0.1,16.8,2.09
Sauce chili  en conserve,sauce,100,0,0,0,0,0
Cerfeuil (déshydraté),autre,100,237,23.2,3.9,49.1,11.3
Foie de porc,meat,100,165,26.02,4.4,3.76,0
Taco et chili con carne,autre,100,0,0,0,0,0
Graisse de porc (saindoux),autre,100,902,0,100,0,0
Persil frais,spice,100,36,2.97,0.79,6.33,3.3
Escalope de veau,meat,100,189,36.929,3.239,0,0
Aneth (désydraté),spice,100,253,19.96,4.36,55.82,13.6
Cacahuètes salées,autre,100,585,23.68,49.66,21.51,8
Café expresso,drink,100,2,0.12,0.18,0,0
Maquereau salé,seafood,100,305,18.5,25.1,0,0
Piment de cayenne,spice,100,318,12.01,17.27,56.63,27.2
Canard rôti avec la peau,meat,100,337,18.99,28.35,0,0
Tomate verte crue,sauce,100,23,1.2,0.2,5.1,1.1
Céleri-rave cru,vegetable,100,42,1.5,0.3,9.2,1.8
Mâche,nuts,100,21,2,0.4,3.6,0
Sauce aux champignons,sauce,100,50,1.26,2.71,5.47,0.4
Lait de brebis,dairy,100,0,0,0,0,0
Crème glacée au chocolat,dairy,100,216,3.8,11,28.2,1.2
Miel,autre,100,304,0.3,0,82.4,0.2
Bière légère,drink,100,0,0,0,0,0
Jus de citron,fruit,100,25,0.38,0,8.63,0.4
Salade de légumes et poulet,meat,100,48,8,1,1.71,0.4
Banane,fruit,100,89,1.09,0.33,22.84,1.74
Cœur d'agneau,meat,100,185,24.97,7.91,1.93,0
Céleri-rave cuit,vegetable,100,27,0.96,0.19,5.9,1.2
Saucisse fumée (porc et boeuf),meat,100,320,12,28.73,2.42,0
Potée auvergnate,autre,100,159,8.4,12,4.4,1.4
Gauffre nature,autre,100,291,7.9,14.1,32.9,1.47
Biscuit fourré au chocolat (BN),autre,100,470,5.61,19.78,70.67,2.8
Zeste de citron,fruit,100,47,1.5,0.3,16,10.6
Abricot frais,fruit,100,48,1.4,0.39,11.12,2
Orge cuit,cereal,100,123,2.26,0.44,28.22,2.46
Muesli (weetabix),autre,100,372,11,5,71,7.8
Palette de veau,meat,100,225,31.26,10.09,0,0
Olives,fruit,100,115,0.84,10.68,6.26,3.2
Soupe de tomates en sachet,autre,100,38,0.93,0.61,7.17,0.4
Laitue romaine,vegetable,100,17,1.23,0.3,3.29,2.1
Tortellinis au fromage,autre,100,307,13.5,7.23,47,1.9
Yaourt nature allégé,dairy,100,51,5.04,0.1,7.26,0
Chou-rave cru,vegetable,100,27,1.7,0.1,6.2,3.6
Double hamburger,autre,100,267,19.3,16.01,11.04,0.64
Mufffin aux raisins,autre,100,240,7.91,1.8,48.1,2.6
Tomate rouge d'été crue,sauce,100,0,0,0,0,0
Pignon,autre,100,673,13.69,68.37,13.08,3.7
Veau haché,meat,100,172,24.38,7.56,0,0
